Site,Area,Structure Size,Estimated Size,Constant,Beta,Fitted Beta,Estimate Ratio,Estimated Average,Estimate Error
Assur,55.0,36.0,5.247004072231706,57.1,0.3000000000000001,2.2299999999999964,-0.38131199946834066,189.99620005153128,153.99620005153128
Assur,55.0,1750.0,5.247004072231706,57.1,0.3000000000000001,2.2299999999999964,0.3528857442515814,189.99620005153128,1560.0037999484687
Nimrud,360.0,160.0,5.810635326097012,57.1,0.3000000000000001,-0.6200000000000003,-0.13532914168397067,333.8311499567191,173.83114995671912
Nimrud,360.0,180.0,5.810635326097012,57.1,0.3000000000000001,-0.6200000000000003,-0.11238665959586805,333.8311499567191,153.83114995671912
Tell Billa,12.0,29.0,4.790276111598365,57.1,0.3000000000000001,0.5400000000000003,-0.35247805518828323,120.3345898525693,91.3345898525693
Tell Billa,12.0,205.0,4.790276111598365,57.1,0.3000000000000001,0.5400000000000003,0.10545087580812483,120.3345898525693,84.6654101474307
Megiddo,50.0,55.0,5.218411018290409,57.1,0.3000000000000001,-0.6200000000000003,-0.2640669739369054,184.64056037783558,129.64056037783558
Megiddo,50.0,100.0,5.218411018290409,57.1,0.3000000000000001,-0.6200000000000003,-0.12501332712040406,184.64056037783558,84.64056037783558
Tell Sukas,1.9,75.0,4.237360282513683,57.1,0.3000000000000001,0.09,0.018733277460655177,69.22487632664759,5.775123673352411
Nippur,135.0,90.0,5.516386550193494,57.1,0.3000000000000001,0.5800000000000003,-0.20368793506619465,248.73462129641,158.73462129641
Nippur,135.0,440.0,5.516386550193494,57.1,0.3000000000000001,0.5800000000000003,0.09839530447534336,248.73462129641,191.26537870359
Uruk,50.0,95.0,5.218411018290409,57.1,0.3000000000000001,1.1300000000000008,-0.13621401867794874,184.64056037783558,89.64056037783558
Uruk,50.0,570.0,5.218411018290409,57.1,0.3000000000000001,1.1300000000000008,0.19557443648381004,184.64056037783558,385.3594396221644
Babylon,900.0,190.0,6.085522545659259,57.1,0.3000000000000001,1.2200000000000009,-0.14825152465278288,439.4493850554596,249.44938505545957
Babylon,900.0,745.0,6.085522545659259,57.1,0.3000000000000001,1.2200000000000009,0.08318291032858453,439.4493850554596,305.5506149445404
Babylon,900.0,1475.0,6.085522545659259,57.1,0.3000000000000001,1.2200000000000009,0.1814702972241879,439.4493850554596,1035.5506149445405
Ur,90.0,200.0,5.394747017761045,57.1,0.3000000000000001,1.9200000000000015,-0.01803641348790463,220.2464216151516,20.246421615151604
Ur,90.0,305.0,5.394747017761045,57.1,0.3000000000000001,1.9200000000000015,0.058597604676819876,220.2464216151516,84.7535783848484
Ur,90.0,1490.0,5.394747017761045,57.1,0.3000000000000001,1.9200000000000015,0.3033429546921115,220.2464216151516,1269.7535783848484
Al Mina,2.0,72.0,4.252748270829948,57.1,0.3000000000000001,1.9300000000000015,0.005608335996919973,70.29834600199472,1.701653998005284
Al Mina,2.0,480.0,4.252748270829948,57.1,0.3000000000000001,1.9300000000000015,0.37274685491811116,70.29834600199472,409.70165399800527
Chatal Höyük,9.0,52.0,4.70397148986283,57.1,0.3000000000000001,-0.6100000000000003,-0.17437675493252325,110.38469476560364,58.38469476560364
Chatal Höyük,9.0,60.0,4.70397148986283,57.1,0.3000000000000001,-0.6100000000000003,-0.1388005033205265,110.38469476560364,50.38469476560364
Tell Keisan,6.0,53.0,4.582331957430381,57.1,0.3000000000000001,-0.6200000000000003,-0.14336840770070194,97.74205897229415,44.742058972294146
Tell Abu Hawam,1.0,70.0,4.044804116661965,57.1,0.3000000000000001,0.21000000000000005,0.04913173625143565,57.099999999999994,12.900000000000006
Tel Ya'oz,1.5,140.0,4.166443649094414,57.1,0.3000000000000001,0.7800000000000005,0.1706349201646043,64.48571001458643,75.51428998541357
Ashkelon,60.0,285.0,5.273107485328595,57.1,0.3000000000000001,0.01,0.06947616658366897,195.02104685488433,89.97895314511567
Ashkelon,60.0,196.0,5.273107485328595,57.1,0.3000000000000001,0.01,0.000949117402553405,195.02104685488433,0.9789531451156677
Tell el Burak,1.8,21.0,4.2211401161326005,57.1,0.3000000000000001,-1.1800000000000008,-0.32676120729834224,68.11109459638966,47.11109459638966
